time,Bx,By,Bz,BT
3.081,0.36,-8.22,14.10,16.33
3.100,0.36,-8.22,14.10,16.33
3.124,0.36,-8.22,14.16,16.38
3.143,0.30,-8.22,14.16,16.38
3.165,0.18,-8.22,14.16,16.37
3.184,0.12,-8.22,14.16,16.37
3.204,0.06,-8.22,14.16,16.37
3.227,0.00,-8.16,14.16,16.34
3.244,-0.06,-8.04,14.16,16.28
3.266,-0.12,-7.98,14.16,16.25
3.285,-0.18,-7.92,14.16,16.23
3.305,-0.18,-7.86,14.16,16.20
3.327,-0.12,-7.80,14.16,16.17
3.349,-0.12,-7.74,14.16,16.14
3.369,-0.12,-7.68,14.16,16.11
3.389,-0.12,-7.68,14.22,16.16
3.409,-0.12,-7.68,14.28,16.21
3.429,-0.12,-7.68,14.34,16.27
3.450,-0.12,-7.68,14.40,16.32
3.469,-0.12,-7.68,14.46,16.37
3.489,-0.06,-7.68,14.58,16.48
3.517,-0.06,-7.68,14.64,16.53
3.532,-0.06,-7.68,14.76,16.64
3.551,-0.06,-7.68,14.76,16.64
3.571,-0.06,-7.68,14.82,16.69
3.610,-0.06,-7.68,14.82,16.69
3.612,-0.06,-7.68,14.82,16.69
3.631,-0.06,-7.68,14.76,16.64
3.654,-0.06,-7.68,14.76,16.64
3.673,-0.12,-7.68,14.76,16.64
3.699,-0.12,-7.68,14.70,16.59
3.714,-0.06,-7.68,14.70,16.59
3.746,-0.06,-7.68,14.64,16.53
3.756,0.00,-7.68,14.64,16.53
3.775,0.06,-7.74,14.64,16.56
3.797,0.18,-7.74,14.70,16.61
3.815,0.42,-7.80,14.76,16.70
3.842,0.66,-7.80,14.88,16.81
3.856,0.84,-7.80,15.06,16.98
3.877,1.02,-7.86,15.18,17.12
3.898,1.26,-7.86,15.36,17.30
3.917,1.38,-7.86,15.54,17.47
3.939,1.50,-7.86,15.72,17.64
3.956,1.62,-7.86,15.84,17.76
3.978,1.62,-7.86,15.96,17.86
3.998,1.56,-7.86,15.96,17.86
4.018,1.56,-7.86,15.96,17.86
4.038,1.56,-7.86,15.96,17.86
4.058,1.50,-7.86,15.96,17.85
4.081,1.50,-7.86,15.96,17.85
4.100,1.50,-7.86,15.96,17.85
4.118,1.44,-7.86,15.96,17.85
4.140,1.44,-7.86,15.96,17.85
4.155,1.38,-7.86,15.96,17.84
4.176,1.38,-7.86,15.96,17.84
4.196,1.38,-7.86,15.96,17.84
4.215,1.38,-7.86,15.96,17.84
4.238,1.38,-7.86,15.96,17.84
4.255,1.38,-7.86,15.96,17.84
4.276,1.38,-7.80,15.96,17.82
4.298,1.38,-7.74,15.96,17.79
4.318,1.38,-7.68,15.96,17.77
4.341,1.38,-7.62,15.96,17.74
4.361,1.38,-7.56,15.96,17.71
4.379,1.38,-7.50,15.96,17.69
4.399,1.32,-7.44,15.90,17.60
4.420,1.32,-7.38,15.84,17.52
4.444,1.26,-7.38,15.78,17.47
4.464,1.20,-7.38,15.66,17.35
4.484,1.14,-7.32,15.60,17.27
4.504,1.02,-7.32,15.54,17.21
4.525,0.96,-7.32,15.48,17.15
4.549,0.84,-7.32,15.42,17.09
4.569,0.78,-7.38,15.36,17.06
4.589,0.72,-7.44,15.36,17.08
4.619,0.66,-7.44,15.36,17.08
4.630,0.54,-7.50,15.36,17.10
4.650,0.54,-7.56,15.36,17.13
4.670,0.48,-7.62,15.30,17.10
4.692,0.48,-7.62,15.18,16.99
4.716,0.48,-7.68,15.12,16.97
4.731,0.42,-7.68,15.00,16.86
4.758,0.42,-7.68,14.94,16.80
4.772,0.36,-7.68,14.82,16.70
4.793,0.36,-7.68,14.70,16.59
4.816,0.36,-7.68,14.58,16.48
4.836,0.36,-7.68,14.58,16.48
4.860,0.30,-7.62,14.52,16.40
4.882,0.30,-7.56,14.52,16.37
4.896,0.30,-7.50,14.46,16.29
4.917,0.30,-7.50,14.46,16.29
4.941,0.24,-7.44,14.46,16.26
4.960,0.24,-7.44,14.46,16.26
4.981,0.24,-7.44,14.46,16.26
4.999,0.24,-7.44,14.46,16.26
5.019,0.24,-7.44,14.46,16.26
5.041,0.30,-7.50,14.46,16.29
5.065,0.36,-7.50,14.46,16.29
5.080,0.42,-7.56,14.46,16.32
5.101,0.48,-7.56,14.46,16.32
5.121,0.54,-7.62,14.46,16.35
5.147,0.60,-7.62,14.46,16.36
5.165,0.66,-7.68,14.46,16.39
5.184,0.72,-7.68,14.46,16.39
5.205,0.72,-7.68,14.46,16.39
5.236,0.72,-7.74,14.46,16.42
5.253,0.72,-7.74,14.52,16.47
5.266,0.72,-7.74,14.52,16.47
5.286,0.72,-7.68,14.58,16.49
5.307,0.72,-7.68,14.58,16.49
5.337,0.72,-7.68,14.58,16.49
5.353,0.72,-7.68,14.64,16.55
5.365,0.72,-7.68,14.64,16.55
5.386,0.72,-7.68,14.64,16.55
5.406,0.72,-7.74,14.64,16.58
5.436,0.72,-7.74,14.64,16.58
5.451,0.72,-7.80,14.64,16.60
5.464,0.72,-7.80,14.64,16.60
5.484,0.72,-7.80,14.64,16.60
5.504,0.72,-7.86,14.64,16.63
5.539,0.72,-7.86,14.64,16.63
5.547,0.72,-7.86,14.64,16.63
5.566,0.72,-7.86,14.64,16.63
5.585,0.72,-7.86,14.64,16.63
5.606,0.72,-7.92,14.58,16.61
5.636,0.72,-7.92,14.58,16.61
5.646,0.72,-7.98,14.58,16.64
5.666,0.66,-7.98,14.52,16.58
5.687,0.66,-8.04,14.52,16.61
5.708,0.66,-8.10,14.46,16.59
5.736,0.60,-8.22,14.46,16.64
5.755,0.60,-8.28,14.46,16.67
5.777,0.54,-8.28,14.52,16.72
5.795,0.54,-8.34,14.52,16.75
5.817,0.54,-8.40,14.58,16.84
5.838,0.54,-8.40,14.64,16.89
5.856,0.54,-8.40,14.64,16.89
5.876,0.54,-8.40,14.64,16.89
5.898,0.54,-8.34,14.70,16.91
5.921,0.54,-8.28,14.70,16.88
5.943,0.48,-8.22,14.70,16.85
5.961,0.48,-8.04,14.70,16.76
5.980,0.48,-7.92,14.70,16.70
6.000,0.42,-7.80,14.64,16.59
6.020,0.42,-7.68,14.64,16.54
6.050,0.36,-7.50,14.64,16.45
6.060,0.36,-7.44,14.64,16.43
6.080,0.36,-7.38,14.64,16.40
6.100,0.36,-7.32,14.64,16.37
6.121,0.36,-7.32,14.64,16.37
6.152,0.36,-7.32,14.64,16.37
6.161,0.36,-7.32,14.64,16.37
6.182,0.36,-7.32,14.64,16.37
6.202,0.36,-7.32,14.64,16.37
6.222,0.36,-7.32,14.64,16.37
6.242,0.36,-7.32,14.64,16.37
6.262,0.36,-7.32,14.64,16.37
6.283,0.36,-7.32,14.64,16.37
6.303,0.36,-7.32,14.64,16.37
6.324,0.36,-7.32,14.64,16.37
6.345,0.36,-7.32,14.64,16.37
6.365,0.36,-7.32,14.64,16.37
6.386,0.36,-7.32,14.64,16.37
6.406,0.36,-7.32,14.64,16.37
6.434,0.36,-7.32,14.70,16.43
6.446,0.30,-7.32,14.70,16.42
6.466,0.30,-7.32,14.76,16.48
6.487,0.30,-7.32,14.76,16.48
6.508,0.24,-7.32,14.76,16.48
6.527,0.18,-7.32,14.76,16.48
6.554,0.12,-7.32,14.82,16.53
6.587,0.06,-7.32,14.82,16.53
6.598,0.00,-7.32,14.82,16.53
6.613,0.00,-7.32,14.82,16.53
6.634,-0.06,-7.32,14.82,16.53
6.652,-0.12,-7.32,14.82,16.53
6.677,-0.12,-7.32,14.82,16.53
6.697,-0.12,-7.32,14.82,16.53
6.719,-0.12,-7.32,14.82,16.53
6.738,-0.06,-7.32,14.82,16.53
6.758,-0.06,-7.32,14.82,16.53
6.781,0.00,-7.32,14.82,16.53
6.802,0.00,-7.32,14.82,16.53
6.822,0.00,-7.32,14.82,16.53
6.843,0.06,-7.32,14.82,16.53
6.869,0.06,-7.32,14.82,16.53
6.885,0.06,-7.32,14.82,16.53
6.902,0.06,-7.32,14.82,16.53
6.922,0.06,-7.32,14.82,16.53
6.942,0.06,-7.32,14.82,16.53
6.962,0.06,-7.26,14.82,16.50
6.982,0.00,-7.26,14.82,16.50
7.003,0.00,-7.20,14.82,16.48
7.024,0.00,-7.20,14.82,16.48
7.055,-0.06,-7.14,14.82,16.45
7.067,-0.06,-7.08,14.82,16.42
7.085,-0.12,-7.08,14.82,16.42
7.106,-0.12,-7.02,14.82,16.40
7.126,-0.12,-7.02,14.82,16.40
7.158,-0.12,-7.02,14.82,16.40
7.164,-0.12,-7.02,14.82,16.40
7.184,-0.12,-7.02,14.76,16.34
7.204,-0.12,-7.02,14.70,16.29
7.225,-0.12,-7.02,14.64,16.24
7.245,-0.18,-7.02,14.64,16.24
7.268,-0.18,-7.02,14.58,16.18
7.292,-0.18,-7.14,14.52,16.18
7.306,-0.24,-7.26,14.40,16.13
7.327,-0.24,-7.38,14.34,16.13
7.355,-0.30,-7.44,14.28,16.10
7.374,-0.30,-7.56,14.22,16.11
7.395,-0.30,-7.68,14.16,16.11
7.416,-0.30,-7.80,14.10,16.12
7.435,-0.30,-7.86,14.04,16.09
7.460,-0.30,-7.86,13.98,16.04
7.479,-0.30,-7.86,13.98,16.04
7.497,-0.30,-7.86,13.98,16.04
7.517,-0.30,-7.86,13.98,16.04
7.537,-0.30,-7.92,13.98,16.07
7.558,-0.30,-7.92,13.98,16.07
7.581,-0.30,-7.98,13.98,16.10
7.598,-0.30,-7.98,13.98,16.10
7.619,-0.30,-7.98,13.98,16.10
7.639,-0.30,-8.04,13.98,16.13
7.659,-0.30,-8.04,13.98,16.13
7.681,-0.24,-8.04,13.98,16.13
7.700,-0.24,-8.04,14.04,16.18
7.720,-0.18,-8.04,14.04,16.18
7.741,-0.12,-8.04,14.10,16.23
7.764,-0.06,-8.04,14.10,16.23
7.784,0.00,-7.98,14.10,16.20
7.805,0.06,-7.92,14.16,16.22
7.825,0.12,-7.80,14.16,16.17
7.845,0.18,-7.68,14.16,16.11
7.875,0.24,-7.62,14.16,16.08
7.885,0.24,-7.56,14.16,16.05
7.906,0.30,-7.50,14.22,16.08
7.926,0.30,-7.44,14.22,16.05
7.948,0.30,-7.44,14.28,16.10
7.967,0.24,-7.44,14.28,16.10
7.995,0.24,-7.50,14.28,16.13
8.013,0.30,-7.50,14.34,16.19
8.035,0.30,-7.50,14.34,16.19
8.053,0.36,-7.50,14.34,16.19
8.075,0.42,-7.56,14.28,16.16
8.096,0.42,-7.56,14.28,16.16
8.116,0.42,-7.62,14.28,16.19
8.136,0.42,-7.62,14.22,16.14
8.156,0.48,-7.62,14.22,16.14
8.176,0.48,-7.68,14.16,16.12
8.199,0.54,-7.68,14.16,16.12
8.219,0.54,-7.68,14.16,16.12
8.239,0.48,-7.68,14.16,16.12
8.259,0.54,-7.68,14.16,16.12
8.282,0.54,-7.68,14.16,16.12
8.302,0.54,-7.68,14.16,16.12
8.322,0.54,-7.68,14.16,16.12
8.343,0.54,-7.62,14.16,16.09
8.376,0.54,-7.56,14.16,16.06
8.385,0.54,-7.50,14.16,16.03
8.403,0.54,-7.44,14.16,16.00
8.424,0.54,-7.38,14.16,15.98
8.443,0.54,-7.32,14.16,15.95
8.475,0.54,-7.26,14.16,15.92
8.485,0.54,-7.20,14.16,15.89
8.506,0.54,-7.26,14.16,15.92
8.526,0.54,-7.26,14.16,15.92
8.553,0.54,-7.32,14.16,15.95
8.569,0.54,-7.32,14.16,15.95
8.593,0.54,-7.38,14.16,15.98
8.613,0.54,-7.50,14.16,16.03
8.633,0.48,-7.56,14.16,16.06
8.653,0.42,-7.62,14.16,16.09
8.675,0.36,-7.68,14.16,16.11
8.695,0.36,-7.80,14.16,16.17
8.717,0.30,-7.80,14.16,16.17
8.736,0.24,-7.86,14.16,16.20
8.756,0.24,-7.86,14.16,16.20
8.778,0.24,-7.80,14.16,16.17
8.799,0.24,-7.74,14.16,16.14
8.817,0.24,-7.68,14.16,16.11
8.839,0.24,-7.62,14.16,16.08
8.870,0.24,-7.50,14.16,16.03
8.883,0.24,-7.44,14.16,16.00
8.901,0.24,-7.38,14.16,15.97
8.922,0.18,-7.32,14.16,15.94
8.943,0.18,-7.32,14.22,15.99
8.968,0.18,-7.38,14.22,16.02
8.984,0.12,-7.38,14.28,16.07
9.011,0.12,-7.44,14.28,16.10
9.027,0.06,-7.44,14.28,16.10
9.045,0.06,-7.50,14.34,16.18
9.065,0.06,-7.50,14.34,16.18
9.091,0.06,-7.56,14.34,16.21
9.115,0.06,-7.62,14.34,16.24
9.133,0.06,-7.62,14.34,16.24
9.152,0.06,-7.68,14.34,16.27
9.175,0.06,-7.68,14.34,16.27
9.195,0.06,-7.68,14.34,16.27
9.214,0.00,-7.68,14.34,16.27
9.235,0.00,-7.68,14.34,16.27
9.275,0.00,-7.68,14.34,16.27
9.277,0.00,-7.68,14.34,16.27
9.296,0.00,-7.68,14.34,16.27
9.317,-0.06,-7.68,14.34,16.27
9.337,-0.06,-7.68,14.34,16.27
9.371,-0.12,-7.68,14.34,16.27
9.380,-0.12,-7.68,14.34,16.27
9.397,-0.12,-7.68,14.34,16.27
9.418,-0.12,-7.68,14.34,16.27
9.439,-0.12,-7.68,14.34,16.27
9.465,-0.12,-7.68,14.34,16.27
9.481,-0.06,-7.68,14.28,16.21
9.508,-0.06,-7.68,14.28,16.21
9.520,0.00,-7.68,14.28,16.21
9.541,0.00,-7.68,14.28,16.21
9.563,0.00,-7.74,14.28,16.24
9.589,0.06,-7.74,14.28,16.24
9.601,0.06,-7.80,14.28,16.27
9.621,0.06,-7.80,14.28,16.27
9.642,0.06,-7.80,14.34,16.32
9.665,0.06,-7.86,14.34,16.35
9.683,0.06,-7.86,14.34,16.35
9.705,0.06,-7.86,14.34,16.35
9.723,0.06,-7.86,14.34,16.35
9.744,0.06,-7.86,14.34,16.35
9.767,0.06,-7.86,14.34,16.35
9.792,0.06,-7.86,14.34,16.35
9.812,0.06,-7.86,14.34,16.35
9.829,0.06,-7.86,14.34,16.35
9.850,0.06,-7.80,14.34,16.32
9.871,0.06,-7.74,14.34,16.30
9.895,0.00,-7.68,14.34,16.27
9.913,-0.12,-7.56,14.34,16.21
9.934,-0.18,-7.50,14.34,16.18
9.952,-0.24,-7.38,14.34,16.13
9.980,-0.30,-7.32,14.34,16.10
9.997,-0.42,-7.20,14.34,16.05
10.015,-0.42,-7.14,14.40,16.08
10.036,-0.42,-7.14,14.40,16.08
10.056,-0.42,-7.08,14.40,16.05
10.080,-0.30,-7.08,14.46,16.10
10.094,-0.24,-7.02,14.46,16.08
10.113,-0.18,-7.08,14.52,16.16
10.135,-0.06,-7.14,14.58,16.23
10.154,0.00,-7.32,14.58,16.31
10.175,0.06,-7.38,14.64,16.40
10.199,0.18,-7.50,14.64,16.45
10.216,0.18,-7.62,14.64,16.51
10.237,0.18,-7.74,14.64,16.56
10.270,0.24,-7.80,14.64,16.59
10.279,0.24,-7.92,14.64,16.65
10.299,0.24,-7.92,14.64,16.65
10.319,0.24,-7.86,14.52,16.51
10.339,0.24,-7.86,14.46,16.46
10.371,0.24,-7.86,14.40,16.41
10.386,0.24,-7.86,14.28,16.30
10.403,0.24,-7.86,14.22,16.25
