time,Bx,By,Bz,BT
0.012,6.06,-9.48,13.74,17.76
0.034,6.00,-9.48,13.68,17.69
0.053,5.88,-9.42,13.68,17.62
0.069,5.82,-9.42,13.68,17.60
0.090,5.70,-9.42,13.68,17.56
0.120,5.64,-9.42,13.68,17.54
0.141,5.52,-9.48,13.62,17.49
0.157,5.46,-9.54,13.44,17.36
0.170,5.40,-9.60,13.32,17.28
0.202,5.40,-9.66,13.20,17.23
0.219,5.40,-9.72,13.08,17.17
0.234,5.40,-9.78,12.96,17.11
0.261,5.40,-9.96,12.84,17.12
0.286,5.40,-10.08,12.72,17.10
0.302,5.40,-10.14,12.66,17.10
0.324,5.40,-10.26,12.66,17.17
0.339,5.40,-10.32,12.66,17.20
0.369,5.40,-10.38,12.60,17.19
0.386,5.40,-10.44,12.60,17.23
0.401,5.46,-10.44,12.54,17.21
0.421,5.52,-10.44,12.54,17.23
0.440,5.58,-10.50,12.54,17.28
0.474,5.64,-10.50,12.54,17.30
0.487,5.70,-10.56,12.54,17.36
0.499,5.76,-10.56,12.54,17.38
0.519,5.82,-10.56,12.54,17.40
0.540,5.88,-10.62,12.54,17.45
0.564,5.94,-10.62,12.48,17.43
0.580,5.94,-10.62,12.48,17.43
0.601,6.00,-10.62,12.42,17.41
0.621,6.00,-10.62,12.42,17.41
0.652,6.06,-10.62,12.30,17.34
0.668,6.18,-10.62,12.24,17.34
0.683,6.36,-10.62,12.12,17.32
0.703,6.66,-10.62,11.94,17.31
0.736,6.90,-10.62,11.70,17.24
0.752,7.20,-10.68,11.52,17.28
0.767,7.50,-10.68,11.28,17.25
0.788,7.74,-10.74,10.98,17.20
0.813,8.04,-10.74,10.62,17.11
0.828,8.22,-10.80,10.20,16.98
0.854,8.28,-10.98,9.78,16.88
0.883,8.28,-11.22,9.36,16.79
0.900,8.28,-11.58,9.00,16.84
0.914,8.28,-12.00,8.58,16.92
0.934,8.22,-12.36,8.28,17.00
0.954,8.04,-12.90,7.98,17.17
0.976,7.86,-13.44,7.74,17.39
0.997,7.68,-13.92,7.62,17.63
1.015,7.26,-14.28,7.50,17.69
1.035,6.90,-14.58,7.44,17.76
1.056,6.48,-14.76,7.44,17.75
1.075,5.94,-14.82,7.50,17.64
1.093,5.52,-14.94,7.62,17.66
1.115,5.10,-14.94,7.74,17.58
1.135,4.74,-14.88,8.04,17.56
1.156,4.38,-14.88,8.46,17.67
1.178,4.20,-14.88,8.82,17.80
1.196,4.08,-14.88,9.30,18.02
1.217,3.90,-14.88,9.78,18.23
1.237,3.84,-14.88,10.26,18.48
1.257,3.72,-14.88,10.68,18.69
1.279,3.60,-14.82,11.04,18.83
1.300,3.42,-14.82,11.34,18.97
1.318,3.24,-14.76,11.46,18.97
1.340,3.00,-14.70,11.70,19.03
1.365,2.82,-14.58,11.82,18.98
1.382,2.58,-14.40,12.06,18.96
1.402,2.40,-14.16,12.18,18.83
1.431,2.22,-13.68,12.36,18.57
1.446,2.16,-13.20,12.66,18.42
1.464,2.16,-12.72,12.96,18.29
1.485,2.34,-12.36,13.20,18.23
1.506,2.76,-11.88,13.44,18.15
1.526,3.60,-11.46,13.62,18.16
1.549,4.44,-11.16,13.80,18.29
1.574,5.28,-10.98,13.92,18.50
1.587,6.18,-10.98,13.92,18.78
1.608,7.14,-10.98,13.80,19.03
1.631,8.22,-11.04,13.26,19.11
1.648,9.24,-10.98,12.60,19.10
1.673,10.02,-11.22,11.64,19.02
1.692,10.44,-11.40,10.56,18.72
1.712,10.92,-11.70,9.24,18.48
1.732,11.40,-11.94,7.86,18.28
1.755,11.94,-12.24,6.24,18.20
1.774,12.42,-12.54,4.62,18.24
1.797,12.84,-12.78,3.06,18.37
1.817,13.08,-13.02,1.62,18.53
1.833,13.32,-13.08,0.30,18.67
1.856,13.62,-13.08,-0.84,18.90
1.879,13.80,-12.90,-1.74,18.97
1.900,13.92,-12.72,-2.64,19.04
1.920,13.74,-12.54,-3.36,18.90
1.953,13.50,-12.12,-4.02,18.58
1.966,12.96,-11.58,-4.56,17.97
1.982,12.30,-10.98,-5.04,17.24
2.002,11.46,-10.32,-5.52,16.38
2.023,10.62,-9.60,-6.18,15.59
2.043,9.84,-8.94,-7.02,15.03
2.083,9.00,-8.22,-7.92,14.54
2.085,8.16,-7.56,-8.76,14.16
2.104,7.32,-7.08,-9.54,13.95
2.125,6.66,-6.66,-10.38,14.02
2.145,6.12,-6.36,-11.22,14.28
2.178,5.70,-6.00,-11.94,14.53
2.188,5.28,-5.76,-12.54,14.78
2.209,4.68,-5.52,-12.90,14.79
2.230,4.02,-5.28,-13.20,14.77
2.252,3.48,-4.98,-13.50,14.80
2.272,3.06,-4.62,-13.74,14.82
2.300,2.64,-4.32,-13.86,14.76
2.310,2.28,-3.96,-13.98,14.71
2.330,1.92,-3.66,-14.04,14.64
2.350,1.62,-3.42,-14.10,14.60
2.372,1.38,-3.24,-14.10,14.53
2.391,1.32,-3.12,-14.10,14.50
2.413,1.26,-3.06,-14.10,14.48
2.432,1.26,-3.06,-14.04,14.42
2.458,1.20,-3.06,-14.04,14.42
2.477,1.20,-3.12,-14.04,14.43
2.498,1.20,-3.18,-13.98,14.39
2.515,1.20,-3.18,-13.98,14.39
2.534,1.20,-3.18,-13.98,14.39
2.556,1.20,-3.24,-13.98,14.40
2.576,1.20,-3.24,-14.04,14.46
2.597,1.20,-3.30,-14.04,14.47
2.617,1.26,-3.30,-14.04,14.48
2.637,1.38,-3.36,-14.10,14.56
2.659,1.44,-3.36,-14.10,14.57
2.678,1.56,-3.36,-14.10,14.58
2.699,1.62,-3.42,-14.10,14.60
2.719,1.74,-3.42,-14.04,14.55
