time,Bx,By,Bz,BT
2.865,-15.84,-10.50,-3.48,19.32
2.891,-15.78,-10.44,-3.42,19.23
2.911,-15.72,-10.44,-3.36,19.17
2.930,-15.66,-10.38,-3.30,19.08
2.955,-15.60,-10.32,-3.12,18.96
2.972,-15.60,-10.26,-3.00,18.91
2.997,-15.60,-10.26,-2.88,18.89
3.020,-15.60,-10.26,-2.70,18.87
3.035,-15.60,-10.26,-2.58,18.85
3.053,-15.60,-10.32,-2.46,18.87
3.073,-15.60,-10.32,-2.34,18.85
3.096,-15.60,-10.38,-2.34,18.88
3.115,-15.60,-10.38,-2.34,18.88
3.137,-15.54,-10.50,-2.40,18.91
3.159,-15.54,-10.62,-2.46,18.98
3.179,-15.48,-10.74,-2.46,19.00
3.205,-15.48,-10.86,-2.52,19.08
3.222,-15.48,-10.98,-2.52,19.15
3.244,-15.42,-11.10,-2.58,19.17
3.264,-15.42,-11.16,-2.58,19.21
3.285,-15.42,-11.22,-2.64,19.25
3.307,-15.42,-11.22,-2.64,19.25
3.331,-15.42,-11.22,-2.64,19.25
3.351,-15.36,-11.22,-2.64,19.20
3.366,-15.36,-11.22,-2.64,19.20
3.395,-15.30,-11.16,-2.64,19.12
3.405,-15.30,-11.10,-2.58,19.08
3.426,-15.30,-11.10,-2.58,19.08
3.451,-15.24,-11.10,-2.52,19.02
3.472,-15.24,-11.10,-2.46,19.01
3.489,-15.24,-11.10,-2.28,18.99
3.514,-15.24,-11.10,-2.16,18.98
3.527,-15.24,-11.10,-2.04,18.96
3.548,-15.18,-11.10,-1.92,18.90
3.568,-15.18,-11.10,-1.80,18.89
3.598,-15.12,-11.10,-1.68,18.83
3.608,-15.06,-11.10,-1.56,18.77
3.630,-15.00,-11.10,-1.50,18.72
3.651,-14.94,-11.10,-1.50,18.67
3.669,-14.88,-11.10,-1.50,18.62
3.693,-14.82,-11.10,-1.44,18.57
3.717,-14.76,-11.10,-1.44,18.52
3.733,-14.76,-11.10,-1.44,18.52
3.754,-14.76,-11.10,-1.38,18.52
3.777,-14.76,-11.10,-1.38,18.52
3.793,-14.88,-11.10,-1.38,18.62
3.825,-14.94,-11.10,-1.44,18.67
3.841,-15.00,-11.10,-1.44,18.72
3.854,-15.06,-11.10,-1.56,18.77
3.874,-15.06,-11.10,-1.62,18.78
3.898,-15.06,-11.10,-1.74,18.79
3.918,-15.12,-11.10,-1.86,18.85
3.937,-15.12,-11.10,-1.92,18.85
3.957,-15.12,-11.10,-2.04,18.87
3.977,-15.12,-11.10,-2.10,18.87
4.000,-15.12,-11.10,-2.10,18.87
4.020,-15.18,-11.04,-2.10,18.89
4.041,-15.24,-10.98,-2.04,18.89
4.063,-15.36,-10.98,-2.04,18.99
4.084,-15.48,-11.04,-1.98,19.12
4.106,-15.60,-10.98,-1.86,19.17
4.123,-15.72,-10.98,-1.74,19.25
4.143,-15.78,-10.98,-1.68,19.30
4.164,-15.90,-10.98,-1.56,19.39
4.185,-15.96,-11.04,-1.50,19.46
4.211,-15.96,-11.04,-1.38,19.46
4.225,-15.96,-11.04,-1.32,19.45
4.246,-15.90,-10.98,-1.26,19.36
4.266,-15.84,-10.98,-1.26,19.31
4.286,-15.78,-10.98,-1.26,19.27
4.317,-15.66,-10.98,-1.20,19.16
4.327,-15.60,-10.98,-1.20,19.11
4.347,-15.48,-10.98,-1.20,19.02
4.372,-15.42,-10.98,-1.14,18.96
4.390,-15.36,-10.98,-1.14,18.92
4.412,-15.30,-10.98,-1.08,18.86
4.432,-15.24,-10.98,-1.08,18.81
4.454,-15.24,-10.98,-1.08,18.81
4.471,-15.24,-10.98,-1.08,18.81
4.491,-15.30,-10.98,-1.08,18.86
4.515,-15.30,-10.98,-1.08,18.86
4.533,-15.36,-10.98,-1.14,18.92
4.556,-15.42,-10.98,-1.26,18.97
4.573,-15.48,-10.98,-1.32,19.02
4.596,-15.48,-10.98,-1.44,19.03
4.622,-15.54,-10.98,-1.50,19.09
4.637,-15.60,-10.98,-1.62,19.15
4.657,-15.60,-10.98,-1.74,19.16
4.677,-15.60,-10.98,-1.86,19.17
4.701,-15.60,-10.98,-1.98,19.18
4.727,-15.60,-10.98,-2.04,19.19
4.735,-15.60,-10.98,-2.10,19.19
4.755,-15.60,-10.98,-2.10,19.19
4.779,-15.60,-10.98,-2.16,19.20
4.793,-15.60,-10.98,-2.16,19.20
4.828,-15.60,-10.98,-2.16,19.20
4.835,-15.60,-10.98,-2.16,19.20
4.858,-15.60,-10.98,-2.16,19.20
4.877,-15.60,-10.98,-2.16,19.20
4.913,-15.60,-10.98,-2.16,19.20
4.918,-15.54,-10.98,-2.16,19.15
4.939,-15.42,-10.98,-2.16,19.05
4.959,-15.30,-10.98,-2.16,18.96
4.980,-15.12,-10.98,-2.16,18.81
5.006,-15.00,-10.98,-2.16,18.71
5.025,-14.88,-10.98,-2.16,18.62
5.046,-14.76,-10.98,-2.16,18.52
5.066,-14.64,-10.98,-2.16,18.43
5.085,-14.58,-10.98,-2.10,18.37
5.113,-14.58,-10.98,-2.10,18.37
5.126,-14.64,-10.92,-2.10,18.38
5.146,-14.70,-10.92,-2.10,18.43
5.167,-14.76,-10.92,-2.04,18.47
5.187,-14.82,-10.92,-2.04,18.52
5.213,-14.88,-10.92,-2.04,18.57
5.226,-14.94,-10.92,-2.04,18.62
5.249,-14.94,-10.92,-1.98,18.61
5.268,-15.00,-10.98,-1.98,18.69
5.287,-15.00,-10.98,-1.92,18.69
5.315,-14.94,-10.98,-1.92,18.64
5.327,-14.94,-10.98,-1.86,18.63
5.349,-14.94,-10.92,-1.92,18.60
5.369,-14.94,-10.92,-1.92,18.60
5.389,-14.94,-10.92,-1.92,18.60
5.414,-14.94,-10.92,-1.92,18.60
5.434,-14.94,-10.92,-1.98,18.61
5.454,-14.94,-10.92,-1.98,18.61
5.475,-14.94,-10.98,-2.04,18.65
5.519,-14.94,-10.98,-2.10,18.66
5.520,-15.00,-10.98,-2.10,18.71
5.538,-15.06,-10.98,-2.10,18.76
5.559,-15.12,-10.98,-2.16,18.81
5.580,-15.24,-10.98,-2.22,18.91
5.601,-15.36,-10.98,-2.22,19.01
5.619,-15.42,-10.98,-2.28,19.07
5.644,-15.54,-10.98,-2.34,19.17
5.660,-15.66,-10.98,-2.40,19.28
5.677,-15.72,-10.98,-2.40,19.32
5.702,-15.84,-10.98,-2.46,19.43
5.722,-15.96,-10.98,-2.52,19.54
5.744,-16.02,-10.98,-2.52,19.58
5.762,-16.08,-10.98,-2.52,19.63
5.785,-16.08,-10.98,-2.52,19.63
5.805,-16.14,-10.98,-2.52,19.68
5.825,-16.20,-10.92,-2.52,19.70
5.844,-16.26,-10.92,-2.52,19.75
5.863,-16.26,-10.92,-2.52,19.75
5.887,-16.26,-10.86,-2.52,19.71
5.905,-16.26,-10.86,-2.52,19.71
5.924,-16.26,-10.80,-2.52,19.68
5.944,-16.26,-10.86,-2.46,19.71
5.964,-16.26,-10.86,-2.40,19.70
5.986,-16.26,-10.92,-2.34,19.73
6.006,-16.26,-10.92,-2.28,19.72
6.030,-16.26,-10.92,-2.22,19.71
6.053,-16.26,-10.98,-2.16,19.74
6.066,-16.32,-10.98,-2.10,19.78
6.086,-16.32,-10.98,-2.04,19.78
6.107,-16.32,-10.98,-2.04,19.78
6.131,-16.32,-10.98,-2.04,19.78
6.145,-16.32,-10.98,-2.04,19.78
6.165,-16.32,-10.98,-2.04,19.78
6.189,-16.32,-10.98,-2.04,19.78
6.206,-16.32,-10.98,-2.04,19.78
6.231,-16.26,-10.98,-2.04,19.73
6.245,-16.26,-10.98,-2.04,19.73
6.265,-16.26,-10.98,-2.04,19.73
6.286,-16.26,-10.98,-2.04,19.73
6.306,-16.26,-11.04,-2.04,19.76
6.333,-16.26,-11.04,-2.04,19.76
6.348,-16.26,-11.04,-2.04,19.76
6.368,-16.26,-11.04,-2.04,19.76
6.388,-16.26,-10.98,-2.04,19.73
6.409,-16.26,-10.98,-2.04,19.73
6.431,-16.26,-10.98,-2.04,19.73
6.451,-16.26,-10.92,-2.04,19.69
6.471,-16.26,-10.92,-2.04,19.69
6.491,-16.26,-10.86,-2.10,19.67
6.511,-16.26,-10.80,-2.10,19.63
6.531,-16.26,-10.80,-2.16,19.64
6.551,-16.26,-10.80,-2.16,19.64
6.574,-16.26,-10.80,-2.22,19.65
6.593,-16.26,-10.80,-2.22,19.65
6.624,-16.26,-10.80,-2.28,19.65
6.640,-16.26,-10.80,-2.28,19.65
6.655,-16.26,-10.80,-2.34,19.66
6.674,-16.26,-10.74,-2.34,19.63
6.694,-16.26,-10.74,-2.34,19.63
6.724,-16.26,-10.74,-2.34,19.63
6.741,-16.26,-10.68,-2.34,19.59
6.755,-16.26,-10.62,-2.40,19.57
6.774,-16.32,-10.62,-2.40,19.62
6.796,-16.32,-10.56,-2.40,19.59
6.816,-16.32,-10.56,-2.46,19.59
6.835,-16.38,-10.56,-2.46,19.64
6.869,-16.38,-10.50,-2.52,19.62
6.875,-16.44,-10.50,-2.46,19.66
6.896,-16.38,-10.44,-2.46,19.58
6.920,-16.32,-10.50,-2.40,19.55
6.942,-16.26,-10.56,-2.40,19.54
6.958,-16.20,-10.62,-2.40,19.52
6.979,-16.08,-10.62,-2.34,19.41
6.999,-16.02,-10.68,-2.34,19.40
7.020,-15.96,-10.74,-2.34,19.38
7.044,-15.90,-10.80,-2.34,19.36
7.061,-15.84,-10.80,-2.34,19.31
7.081,-15.90,-10.80,-2.34,19.36
7.104,-15.90,-10.80,-2.34,19.36
7.122,-15.96,-10.80,-2.34,19.41
7.151,-16.08,-10.80,-2.34,19.51
7.166,-16.20,-10.80,-2.34,19.61
7.183,-16.32,-10.80,-2.34,19.71
7.205,-16.44,-10.80,-2.34,19.81
7.225,-16.56,-10.80,-2.28,19.90
7.246,-16.62,-10.80,-2.22,19.94
7.270,-16.68,-10.80,-2.22,19.99
7.287,-16.68,-10.80,-2.16,19.99
7.308,-16.56,-10.80,-2.10,19.88
7.328,-16.50,-10.74,-2.10,19.80
7.348,-16.44,-10.68,-2.04,19.71
7.373,-16.32,-10.68,-2.04,19.61
7.393,-16.26,-10.62,-2.04,19.53
7.424,-16.26,-10.56,-2.04,19.50
7.434,-16.20,-10.50,-2.04,19.41
7.453,-16.20,-10.44,-2.04,19.38
7.474,-16.20,-10.38,-2.04,19.35
7.494,-16.20,-10.38,-2.10,19.35
7.526,-16.20,-10.38,-2.16,19.36
7.548,-16.20,-10.32,-2.22,19.34
7.556,-16.20,-10.26,-2.34,19.32
7.577,-16.20,-10.26,-2.52,19.34
7.597,-16.20,-10.26,-2.64,19.36
7.617,-16.20,-10.26,-2.76,19.37
7.640,-16.20,-10.26,-2.88,19.39
7.665,-16.26,-10.26,-2.94,19.45
7.678,-16.32,-10.26,-3.06,19.52
7.695,-16.44,-10.20,-3.12,19.60
7.717,-16.50,-10.20,-3.12,19.65
7.735,-16.56,-10.20,-3.12,19.70
7.764,-16.62,-10.14,-3.12,19.72
7.775,-16.68,-10.14,-3.12,19.77
7.796,-16.74,-10.08,-3.12,19.79
7.816,-16.80,-10.08,-3.12,19.84
7.837,-16.80,-10.08,-3.12,19.84
7.863,-16.80,-10.08,-3.06,19.83
7.877,-16.86,-10.08,-3.00,19.87
7.898,-16.92,-10.08,-2.88,19.90
7.919,-16.98,-10.02,-2.82,19.92
7.943,-17.04,-9.96,-2.76,19.93
7.959,-17.04,-9.90,-2.64,19.88
7.979,-17.10,-9.90,-2.58,19.93
8.002,-17.10,-9.84,-2.52,19.89
8.024,-17.10,-9.78,-2.46,19.85
8.040,-17.16,-9.66,-2.46,19.85
8.063,-17.10,-9.66,-2.52,19.80
8.083,-17.16,-9.54,-2.52,19.79
8.103,-17.16,-9.48,-2.52,19.77
8.122,-17.22,-9.42,-2.52,19.79
8.147,-17.28,-9.42,-2.52,19.84
8.166,-17.28,-9.42,-2.52,19.84
8.187,-17.34,-9.42,-2.46,19.89
8.208,-17.40,-9.42,-2.46,19.94
8.228,-17.40,-9.48,-2.40,19.96
8.259,-17.40,-9.54,-2.40,19.99
8.276,-17.28,-9.54,-2.40,19.88
8.295,-17.22,-9.54,-2.34,19.82
8.316,-17.10,-9.48,-2.34,19.69
8.338,-16.98,-9.42,-2.34,19.56
8.362,-16.80,-9.42,-2.34,19.40
8.384,-16.62,-9.36,-2.34,19.22
8.404,-16.44,-9.30,-2.34,19.03
8.420,-16.26,-9.30,-2.34,18.88
8.443,-16.08,-9.24,-2.34,18.69
8.461,-15.96,-9.24,-2.34,18.59
8.482,-15.90,-9.24,-2.34,18.54
8.505,-15.84,-9.24,-2.28,18.48
8.525,-15.90,-9.24,-2.22,18.52
8.552,-15.96,-9.24,-2.16,18.57
8.565,-16.08,-9.24,-2.10,18.66
8.587,-16.14,-9.24,-1.98,18.70
8.607,-16.20,-9.18,-1.92,18.72
8.627,-16.32,-9.12,-1.80,18.78
8.651,-16.38,-9.00,-1.74,18.77
8.671,-16.44,-8.94,-1.68,18.79
8.691,-16.44,-8.82,-1.68,18.73
8.712,-16.44,-8.64,-1.68,18.65
8.735,-16.44,-8.52,-1.68,18.59
8.755,-16.44,-8.34,-1.68,18.51
8.780,-16.44,-8.28,-1.68,18.48
8.805,-16.44,-8.22,-1.74,18.46
8.817,-16.44,-8.16,-1.80,18.44
8.838,-16.50,-8.10,-1.86,18.47
8.864,-16.50,-8.04,-1.92,18.45
8.879,-16.50,-8.04,-1.98,18.46
8.900,-16.56,-8.04,-2.04,18.52
8.920,-16.62,-8.04,-2.04,18.57
8.947,-16.62,-8.04,-2.10,18.58
8.960,-16.68,-8.04,-2.10,18.64
8.981,-16.68,-8.04,-2.10,18.64
9.005,-16.68,-8.04,-2.16,18.64
9.021,-16.74,-8.04,-2.16,18.70
9.046,-16.74,-8.04,-2.16,18.70
9.069,-16.80,-8.04,-2.16,18.75
9.085,-16.80,-8.04,-2.16,18.75
9.106,-16.80,-8.04,-2.16,18.75
9.126,-16.80,-8.04,-2.16,18.75
9.156,-16.80,-8.04,-2.16,18.75
9.167,-16.80,-8.04,-2.22,18.76
9.192,-16.80,-8.04,-2.22,18.76
9.214,-16.74,-8.04,-2.28,18.71
9.235,-16.68,-8.04,-2.34,18.66
9.254,-16.62,-8.04,-2.40,18.62
9.280,-16.62,-8.04,-2.40,18.62
9.293,-16.50,-8.04,-2.52,18.53
