time,Bx,By,Bz,BT
0.017,15.84,-2.70,-0.90,16.09
0.051,15.72,-2.70,-0.90,15.98
0.065,15.60,-2.70,-0.84,15.85
0.083,15.54,-2.70,-0.78,15.79
0.103,15.42,-2.70,-0.72,15.67
0.126,15.42,-2.70,-0.66,15.67
0.148,15.48,-2.70,-0.60,15.73
0.165,15.60,-2.70,-0.54,15.84
0.186,15.72,-2.70,-0.48,15.96
0.205,15.84,-2.70,-0.42,16.07
0.235,15.96,-2.70,-0.42,16.19
0.247,16.08,-2.70,-0.42,16.31
0.266,16.20,-2.70,-0.42,16.43
0.287,16.32,-2.70,-0.42,16.55
0.307,16.32,-2.70,-0.42,16.55
0.327,16.38,-2.70,-0.42,16.61
0.350,16.38,-2.70,-0.30,16.60
0.367,16.38,-2.70,-0.24,16.60
0.387,16.38,-2.70,-0.18,16.60
0.408,16.38,-2.70,-0.12,16.60
0.438,16.38,-2.64,-0.06,16.59
0.448,16.38,-2.64,0.06,16.59
0.468,16.38,-2.58,0.12,16.58
0.489,16.38,-2.52,0.18,16.57
0.523,16.38,-2.34,0.18,16.55
0.537,16.38,-2.10,0.18,16.52
0.556,16.38,-1.86,0.24,16.49
0.576,16.38,-1.74,0.30,16.47
0.601,16.38,-1.56,0.24,16.46
0.619,16.38,-1.44,0.24,16.44
0.640,16.38,-1.32,0.12,16.43
0.660,16.38,-1.20,0.06,16.42
0.682,16.38,-1.20,0.00,16.42
0.702,16.38,-1.44,-0.12,16.44
0.741,16.38,-1.56,-0.18,16.46
0.755,16.38,-1.68,-0.24,16.47
0.767,16.38,-1.80,-0.36,16.48
0.785,16.38,-1.92,-0.36,16.50
0.802,16.38,-2.04,-0.36,16.51
0.827,16.32,-2.16,-0.30,16.47
0.849,16.32,-2.22,-0.30,16.47
0.865,16.32,-2.22,-0.30,16.47
0.886,16.26,-2.22,-0.24,16.41
0.905,16.26,-2.22,-0.24,16.41
0.926,16.20,-2.22,-0.24,16.35
0.946,16.20,-2.22,-0.24,16.35
0.967,16.20,-2.22,-0.24,16.35
0.987,16.20,-2.28,-0.24,16.36
1.025,16.26,-2.28,-0.24,16.42
1.026,16.32,-2.28,-0.24,16.48
1.046,16.44,-2.28,-0.24,16.60
1.066,16.50,-2.34,-0.24,16.67
1.086,16.62,-2.34,-0.24,16.79
1.106,16.68,-2.34,-0.24,16.85
1.129,16.80,-2.34,-0.24,16.96
1.149,16.86,-2.34,-0.24,17.02
1.169,16.86,-2.34,-0.24,17.02
1.190,16.86,-2.34,-0.24,17.02
1.226,16.80,-2.34,-0.24,16.96
1.231,16.74,-2.34,-0.24,16.90
1.252,16.68,-2.34,-0.24,16.85
1.272,16.68,-2.34,-0.24,16.85
1.292,16.62,-2.34,-0.24,16.79
1.312,16.56,-2.40,-0.24,16.73
1.333,16.50,-2.46,-0.24,16.68
1.359,16.50,-2.52,-0.24,16.69
1.373,16.50,-2.52,-0.24,16.69
1.393,16.50,-2.58,-0.24,16.70
1.414,16.50,-2.64,-0.24,16.71
1.436,16.50,-2.70,-0.24,16.72
1.459,16.50,-2.70,-0.24,16.72
1.472,16.50,-2.70,-0.24,16.72
1.493,16.50,-2.70,-0.24,16.72
1.515,16.50,-2.70,-0.24,16.72
1.535,16.50,-2.70,-0.24,16.72
1.559,16.50,-2.70,-0.30,16.72
1.576,16.50,-2.70,-0.30,16.72
1.596,16.50,-2.64,-0.30,16.71
1.616,16.50,-2.58,-0.36,16.70
1.647,16.50,-2.52,-0.36,16.70
1.668,16.50,-2.52,-0.42,16.70
1.687,16.50,-2.46,-0.42,16.69
1.704,16.50,-2.40,-0.42,16.68
1.726,16.50,-2.34,-0.42,16.67
1.747,16.50,-2.40,-0.36,16.68
1.767,16.50,-2.40,-0.30,16.68
1.786,16.50,-2.46,-0.30,16.69
1.806,16.50,-2.46,-0.18,16.68
1.825,16.50,-2.46,-0.06,16.68
1.845,16.50,-2.52,0.06,16.69
1.865,16.50,-2.52,0.12,16.69
1.886,16.50,-2.52,0.24,16.69
1.906,16.50,-2.52,0.30,16.69
1.929,16.50,-2.52,0.36,16.70
1.950,16.50,-2.52,0.42,16.70
1.971,16.50,-2.52,0.42,16.70
1.991,16.50,-2.52,0.42,16.70
2.015,16.50,-2.52,0.36,16.70
2.032,16.50,-2.52,0.24,16.69
2.056,16.50,-2.52,0.06,16.69
