time,Bx,By,Bz,BT
3.091,14.76,-1.68,0.00,14.86
3.112,14.76,-1.68,-0.12,14.86
3.132,14.76,-1.68,-0.18,14.86
3.161,14.88,-1.68,-0.24,14.98
3.172,15.00,-1.68,-0.24,15.10
3.192,15.06,-1.68,-0.30,15.16
3.212,15.18,-1.68,-0.36,15.28
3.233,15.30,-1.68,-0.36,15.40
3.261,15.36,-1.68,-0.42,15.46
3.280,15.48,-1.68,-0.48,15.58
3.298,15.54,-1.68,-0.48,15.64
3.319,15.54,-1.68,-0.54,15.64
3.340,15.54,-1.68,-0.54,15.64
3.381,15.54,-1.68,-0.54,15.64
3.382,15.54,-1.68,-0.54,15.64
3.404,15.54,-1.68,-0.54,15.64
3.423,15.54,-1.68,-0.54,15.64
3.443,15.54,-1.68,-0.54,15.64
3.463,15.54,-1.68,-0.42,15.64
3.484,15.54,-1.68,-0.36,15.63
3.504,15.54,-1.68,-0.24,15.63
3.527,15.54,-1.68,-0.12,15.63
3.563,15.54,-1.68,0.00,15.63
3.566,15.54,-1.68,0.12,15.63
3.587,15.54,-1.68,0.24,15.63
3.607,15.48,-1.68,0.36,15.58
3.628,15.48,-1.68,0.42,15.58
3.651,15.42,-1.68,0.42,15.52
3.678,15.36,-1.68,0.42,15.46
3.691,15.30,-1.68,0.42,15.40
3.713,15.30,-1.68,0.42,15.40
3.734,15.24,-1.68,0.42,15.34
3.772,15.18,-1.68,0.42,15.28
3.774,15.18,-1.68,0.42,15.28
3.793,15.18,-1.68,0.42,15.28
3.815,15.18,-1.68,0.42,15.28
3.836,15.18,-1.68,0.42,15.28
3.861,15.18,-1.68,0.42,15.28
3.874,15.18,-1.68,0.42,15.28
3.895,15.18,-1.68,0.42,15.28
3.918,15.18,-1.68,0.42,15.28
3.935,15.12,-1.68,0.42,15.22
3.962,15.12,-1.68,0.42,15.22
3.976,15.12,-1.68,0.36,15.22
3.999,15.06,-1.68,0.30,15.16
4.023,15.06,-1.68,0.24,15.16
4.042,15.00,-1.62,0.18,15.09
4.068,15.00,-1.62,0.12,15.09
4.083,15.00,-1.56,0.00,15.08
4.102,15.00,-1.44,-0.18,15.07
4.123,15.00,-1.38,-0.30,15.07
4.144,15.00,-1.32,-0.42,15.06
4.165,15.00,-1.20,-0.54,15.06
4.188,15.00,-1.14,-0.60,15.06
4.201,15.00,-1.14,-0.72,15.06
4.222,15.00,-1.08,-0.78,15.06
4.239,15.00,-1.02,-0.78,15.05
4.263,15.00,-1.08,-0.78,15.06
4.281,15.00,-1.14,-0.72,15.06
